ID,User SID,Name,Address,Latitude,Longitude,Description,URL to place image,Created Date,Total votes,Place_Type
2991,,Big Thompson River Restoration at Cedar Cove,"281 Cedar Cove, Loveland, CO 80537, USA",40.4171,-105.26,"Large amounts of sediment and debris were deposited from erosion caused by the 2013 flooding and streambank erosion and sedimentation along the Big Thompson still impacts residences, businesses, structures, and bridges. The project proposes to use rip-rap and bioengineering to stabilize streambanks and in-stream structures to provide grade control. Additionally, a floodplain will be shaped to lower flood surfaces and provide areas for future sediment deposition. A low-flow channel, rock clusters, and woody material will be added to create channel complexity and enhance fish habitat, and disturbed areas will be planted with willows, trees, and shrubs, and/or will be seeded and mulched. The project is expected to be constructed with the ongoing CDOT work for permanent repairs on US Hwy 34.",http://coloradoewp.com/sites/coloradoewp.com/files/BT21_4_BigT_lookingDS_frombr_0.jpg,03/07/2016 - 10:47am,1,Big Thompson River
2992,,Big Thompson River Restoration at Jasper Lake,,40.4161,-105.257,"Large amounts of sediment and debris were deposited from erosion caused by the 2013 flooding and streambank erosion and sedimentation along the Big Thompson still impacts residences, businesses, structures, and bridges. The project proposes to use rip-rap and bioengineering to stabilize streambanks and in-stream structures to provide grade control. Additionally, a floodplain will be shaped to lower flood surfaces and provide areas for future sediment deposition. A low-flow channel, rock clusters, and woody material will be added to create channel complexity and enhance fish habitat, and disturbed areas will be planted with willows, trees, and shrubs, and/or will be seeded and mulched. The project is expected to be constructed with the ongoing CDOT work for permanent repairs on US Hwy 34.",http://coloradoewp.com/sites/coloradoewp.com/files/BT22_3_BigT_lookingDS_0.jpg,03/07/2016 - 10:47am,1,Big Thompson River
2993,,Big Thompson River Restoration at Moodie,,40.432,-105.332,"A large amount of hillside and bank erosion caused by the 2013 flooding along the Big Thompson still impacts residences, structures, and bridges. The project proposes to use rip-rap and bioengineering to stabilize streambanks and in-stream structures to provide grade control. Additionally, a floodplain will be shaped to lower flood surfaces and provide areas for future sediment deposition. A low-flow channel, rock clusters, and woody material will be added to create channel complexity and enhance fish habitat, and disturbed areas will be planted with willows, trees, and shrubs, and/or will be seeded and mulched. The project is expected to be constructed with the ongoing CDOT work for permanent repairs on US Hwy 34.",http://coloradoewp.com/sites/coloradoewp.com/files/BT23_1_BigT_LookingDS_0.jpg,03/07/2016 - 10:47am,1,Big Thompson River
2994,,Big Thompson River Restoration at North Fork,,40.4389,-105.364,"A large amount of deposition caused by the 2013 flooding along the Big Thompson still impacts residences, businesses, government facilities, structures, and bridges. The project proposes to remove significant quantities of sediment and create a floodplain to lower flood surfaces and provide areas for future sediment deposition. The project also proposes to use rip-rap and bioengineering to stabilize streambanks and in-stream structures to provide grade control. Additionally, a low-flow channel, rock clusters, and woody material will be added to create channel complexity and enhance fish habitat, and disturbed areas will be planted with willows, trees, and shrubs, and/or will be seeded and mulched. The project is expected to be constructed with the ongoing CDOT work for permanent repairs on US Hwy 34.",http://coloradoewp.com/sites/coloradoewp.com/files/BT24_1_BigT_LookingUS_0.jpg,03/07/2016 - 10:47am,1,Big Thompson River
2995,,Big Thompson River Restoration at Confluence,,40.432,-105.34,"A large amount of deposition caused by the 2013 flooding along the Big Thompson still impacts residences, businesses, government facilities, structures, and bridges. The project proposes to remove significant quantities of sediment and create a floodplain to lower flood surfaces and provide areas for future sediment deposition. The project also proposes to use rip-rap and bioengineering to stabilize streambanks and in-stream structures to provide grade control. Additionally, a low-flow channel, rock clusters, and woody material will be added to create channel complexity and enhance fish habitat, and disturbed areas will be planted with willows, trees, and shrubs, and/or will be seeded and mulched. The project is expected to be constructed with the ongoing CDOT work for permanent repairs on US Hwy 34.",http://coloradoewp.com/sites/coloradoewp.com/files/BT25_1_BigT_LookingUS_0.jpg,03/07/2016 - 10:47am,1,Big Thompson River
2996,,Big Thompson River Restoration at West Drake,,40.428,-105.34,"A large amount of deposition caused by the 2013 flooding along the Big Thompson still impacts residences, businesses, government facilities, structures, and bridges. The project proposes to remove significant quantities of sediment and create a floodplain to lower flood surfaces and provide areas for future sediment deposition. The project also proposes to use rip-rap and bioengineering to stabilize streambanks and in-stream structures to provide grade control. Additionally, a low-flow channel, rock clusters, and woody material will be added to create channel complexity and enhance fish habitat, and disturbed areas will be planted with willows, trees, and shrubs, and/or will be seeded and mulched. The project is expected to be constructed with the ongoing CDOT work for permanent repairs on US Hwy 34.",http://coloradoewp.com/sites/coloradoewp.com/files/BT26_1_BigT_LookingUS_0.jpg,03/07/2016 - 10:47am,1,Big Thompson River
2997,,Big Thompson River Restoration at Mountain Shadows 2,,40.4261,-105.349,"A large amount of hillside and bank erosion caused by the 2013 flooding along the Big Thompson still impacts residences, structures, and bridges. The project proposes to use rip-rap and bioengineering to stabilize streambanks and in-stream structures to provide grade control. Additionally, where feasible, a floodplain will be shaped to lower flood surfaces and store excess sediment. A low-flow channel, rock clusters, and woody material will be added to create channel complexity and enhance fish habitat, and disturbed areas will be planted with willows, trees, and shrubs, and/or will be seeded and mulched. The project is expected to be constructed with the ongoing CDOT work for permanent repairs on US Hwy 34.",http://coloradoewp.com/sites/coloradoewp.com/files/BT27_1_BigT_LookingUS_0.jpg,03/07/2016 - 10:47am,1,Big Thompson River
2998,,Big Thompson River Restoration at Mountain Shadows,,40.4189,-105.358,"A large amount of hillside and bank erosion caused by the 2013 flooding along the Big Thompson still impacts residences, structures, and bridges. The project proposes to use rip-rap and bioengineering to stabilize streambanks and in-stream structures to provide grade control. Additionally, where feasible, a floodplain will be shaped to lower flood surfaces and store excess sediment. A low-flow channel, rock clusters, and woody material will be added to create channel complexity and enhance fish habitat, and disturbed areas will be planted with willows, trees, and shrubs, and/or will be seeded and mulched. The project is expected to be constructed with the ongoing CDOT work for permanent repairs on US Hwy 34.",http://coloradoewp.com/sites/coloradoewp.com/files/BT28_1_BigT_LookingUS.jpg,03/07/2016 - 10:47am,1,Big Thompson River
2999,,Big Thompson River Restoration at Waltonia,,40.4146,-105.367,"A large amount of hillside and bank erosion caused by the 2013 flooding along the Big Thompson still impacts residences, structures, and bridges. The project proposes to use rip-rap and bioengineering to stabilize streambanks and in-stream structures to provide grade control. Additionally, where feasible, a floodplain will be shaped to lower flood surfaces and store excess sediment. A low-flow channel, rock clusters, and woody material will be added to create channel complexity and enhance fish habitat, and disturbed areas will be planted with willows, trees, and shrubs, and/or will be seeded and mulched. The project is expected to be constructed with the ongoing CDOT work for permanent repairs on US Hwy 34.",http://coloradoewp.com/sites/coloradoewp.com/files/BT29_1_BigT_LookingDS_0.jpg,03/07/2016 - 10:47am,1,Big Thompson River
3001,,North Fork Big Thompson River Restoration at Glen Haven on Fox Creek,,40.4542,-105.473,"Bank erosion, sedimentation, and unstable streambanks have affected the homes, roads, crossings, and businesses along the North Fork of the Big Thompson since the flood of 2013. The project proposes to use rip-rap and bioengineering to stabilize failing streambanks throughout the The project area, as well as stabilize a significant channel avulsion and eroding gully. Additionally, where feasible, a floodplain will be shaped to lower flood surfaces and store excess sediment. A low-flow channel, rock clusters, and woody material will be added to create channel complexity and enhance fish habitat, and disturbed areas will be planted with willows, trees, and shrubs, and/or will be seeded and mulched.",http://coloradoewp.com/sites/coloradoewp.com/files/BT30_1_BigT_West_LookingUS_0.jpg,03/07/2016 - 10:47am,1,Big Thompson River
3001,,North Fork Big Thompson River Restoration at Glen Haven on Fox Creek,,40.4542,-105.473,"Bank erosion, sedimentation, and unstable streambanks have affected the homes, roads, crossings, and businesses along the North Fork of the Big Thompson since the flood of 2013. The project proposes to use rip-rap and bioengineering to stabilize failing streambanks throughout the The project area, as well as stabilize a significant channel avulsion and eroding gully. Additionally, where feasible, a floodplain will be shaped to lower flood surfaces and store excess sediment. A low-flow channel, rock clusters, and woody material will be added to create channel complexity and enhance fish habitat, and disturbed areas will be planted with willows, trees, and shrubs, and/or will be seeded and mulched.",http://coloradoewp.com/sites/coloradoewp.com/files/Budget-Legend_0.png,03/07/2016 - 10:47am,1,Big Thompson River
3000,,North Fork Big Thompson River Restoration at Glen Haven on West Creek,,40.4434,-105.463,"Bank erosion, sedimentation, and unstable streambanks have affected the homes, roads, crossings, and businesses along the North Fork of the Big Thompson since the flood of 2013. The project proposes to use rip-rap and bioengineering to stabilize failing streambanks throughout the The project area, as well as consider alternative channel alignments. Additionally, where feasible, a floodplain will be shaped to lower flood surfaces and store excess sediment. A low-flow channel, rock clusters, and woody material will be added to create channel complexity and enhance fish habitat, and disturbed areas will be planted with willows, trees, and shrubs, and/or will be seeded and mulched.",http://coloradoewp.com/sites/coloradoewp.com/files/BT30_1_BigT_West_LookingUS_2.jpg,03/07/2016 - 10:47am,1,Big Thompson River
3006,,"Upper Coal Creek Restoration - ""Area 3""",,39.8849,-105.326,"Proposed work for this project begins approximately four miles west of Highway 93 on Highway 72, in Coal Creek Canyon. The project covers three separate areas along approximately 1.25 miles of the canyon; Start, Area 2, and Area 3.  All sites have one or more of the following treatments: sediment removal to establish a floodplain, bioengineering to stabilize stream banks, armored resiliency to stabilize stream banks, critical area treatment including willow planting, seeding, mulching and top soiling, and cross vanes. Mature trees and bushes in the existing riparian corridor will be preserved where possible and removed only if absolutely necessary. Trees and bushes removed during the project will be utilized, if possible, onsite within the channel or on the banks for stabilization and/or fish habitat. 
The focus for the project is not only to repair damage caused by the 2013 flooding, but also to build a more resilient floodplain corridor in order to better protect life, homes and structures in the event of high flows.",http://coloradoewp.com/sites/coloradoewp.com/files/CC9_Area3_LookingUS_0.jpg,03/07/2016 - 10:47am,1,Coal Creek
3124,,"Upper Coal Creek Restoration - ""Area 2""",,39.8829,-105.323,"Proposed work for this project begins approximately four miles west of Highway 93 on Highway 72, in Coal Creek Canyon. The project covers three separate areas along approximately 1.25 miles of the canyon; Start, Area 2, and Area 3.  All sites have one or more of the following treatments: sediment removal to establish a floodplain, bioengineering to stabilize stream banks, armored resiliency to stabilize stream banks, critical area treatment including willow planting, seeding, mulching and top soiling, and cross vanes. Mature trees and bushes in the existing riparian corridor will be preserved where possible and removed only if absolutely necessary. Trees and bushes removed during the project will be utilized, if possible, onsite within the channel or on the banks for stabilization and/or fish habitat. 
The focus for the project is not only to repair damage caused by the 2013 flooding, but also to build a more resilient floodplain corridor in order to better protect life, homes and structures in the event of high flows.",http://coloradoewp.com/sites/coloradoewp.com/files/CC8_Area2AreaB_1.jpg,05/19/2016 - 2:05pm,1,Coal Creek
3123,,"Upper Coal Creek Restoration - ""Start""",,39.8779,-105.314,"Proposed work for this project begins approximately four miles west of Highway 93 on Highway 72, in Coal Creek Canyon. The project covers three separate areas along approximately 1.25 miles of the canyon; Start, Area 2, and Area 3.  All sites have one or more of the following treatments: sediment removal to establish a floodplain, bioengineering to stabilize stream banks, armored resiliency to stabilize stream banks, critical area treatment including willow planting, seeding, mulching and top soiling, and cross vanes. Mature trees and bushes in the existing riparian corridor will be preserved where possible and removed only if absolutely necessary. Trees and bushes removed during the project will be utilized, if possible, onsite within the channel or on the banks for stabilization and/or fish habitat. 
The focus for the project is not only to repair damage caused by the 2013 flooding, but also to build a more resilient floodplain corridor in order to better protect life, homes and structures in the event of high flows.",http://coloradoewp.com/sites/coloradoewp.com/files/CC6_StartAreaB_1.jpg,05/19/2016 - 2:05pm,1,Coal Creek
